1873,03,30,Sunday,DWR_1873_03-59.jpg
CHRISTIANSUND, 30.21, 42, 37, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
SKUDDESNAES, 30.20, 45, 41, NaN, NaN, NaN, 999.00, 999, 999
THURSO, 29.96, 44, 42, 53, 37, 0.00, 29.97, 48, 45
WICK, 29.98, 46, 45, 999, 38, 0.00, NaN, NaN, NaN
STORNOWAY, 29.93, 43, 43, 52, 33, 0.00, NaN, NaN, NaN
OXO, -999.00, 40, 37, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 30.01, 38, 38, 51, 36, 0.00, NaN, NaN, NaN
ABERDEEN, 30.05, 39, 38, 45, 37, 0.00, NaN, NaN, NaN
LEITH, 30.05, 37, 37, 41, 36, 0.00, NaN, NaN, NaN
ARDROSSAN, 29.99, 39, 38, 56, 38, 0.00, NaN, NaN, NaN
FANO, 30.19, 42, 41, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE, 29.90, 50, 48, 53, 47, 0.00, 29.94, 53, 51
SHIELDS, 30.07, 38, 38, 43, 36, 0.00, NaN, NaN, NaN
DONAGHADEE, 29.94, 48, 46, 53, 42, 0.00, NaN, NaN, NaN
SCARBOROUGH, 30.05, 37, 37, 43, 32, 0.00, 30.05, 42, 41
YORK, 30.07, 35, 35, 53, 32, 0.00, NaN, NaN, NaN
CUXHAVEN, 30.09, 43, 43, 61, 999, 0.07, NaN, NaN, NaN
LIVERPOOL, 30.01, 46, 42, 57, 42, 0.00, NaN, NaN, NaN
HOLYHEAD, 29.89, 48, 47, 60, 44, 0.00, 29.96, 51, 49
KINGSTOWN, 29.94, 47, 46, 53, 45, 0.01, NaN, NaN, NaN
HELDER, 999.00, 999, 999, NaN, NaN, NaN, NaN, NaN, NaN
NOTTINGHAM, 30.04, 42, 41, 53, 33, 0.01, NaN, NaN, NaN
YARMOUTH, 30.05, 43, 42, 49, 36, 0.01, NaN, NaN, NaN
CAMBRIDGE, 30.04, 37, 36, 60, 31, 0.00, NaN, NaN, NaN
VALENTIA, 29.78, 48, 47, 54, 45, 0.27, 29.89, 50, 47
ROCHESPOINT, 29.79, 46, 46, 52, 45, 0.35, NaN, NaN, NaN
OXFORD, 30.05, 48, 45, 61, 39, 0.00, NaN, NaN, NaN
PEMBROKE, 29.87, 47, 46, 52, 45, 0.03, NaN, NaN, NaN
LONDON, 30.00, 50, 46, 64, 40, 0.00, 30.00, 56, 51
PORTISHEAD, 29.94, 47, 46, 53, 41, 0.00, NaN, NaN, NaN
DOVER, 30.02, 48, 45, 51, 41, 0.00, NaN, NaN, NaN
CAPGRISNEZ, 29.99, 49, 45, 52, 39, 0.00, NaN, NaN, NaN
BRUSSELS, 30.04, 50, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PORTSMOUTH, 29.95, 54, 48, 55, 46, 0.00, NaN, NaN, NaN
PLYMOUTH, 29.87, 51, 50, 53, 47, 0.01, NaN, NaN, NaN
SCILLY, 29.84, 50, 50, 52, 48, 0.01, 29.89, 52, 51
CHARLEVILLE, 30.07, 52, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS, 30.01, 51, 49, 68, 44, 0.00, NaN, NaN, NaN
BREST, 29.90, 999, 999, 60, 999, 0.00, NaN, NaN, NaN
LORIENT, 29.96, 48, 48, 62, 46, 0.00, NaN, NaN, NaN
ROCHEFORT, 30.00, 52, 48, 72, 47, 0.00, 29.89, 67, 60
LYONS, 999.00, 999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ, 29.94, 59, 59, 65, 55, 0.00, NaN, NaN, NaN
CORUNNA, 30.04, 52, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON, 30.10, 54, 45, 64, 48, 0.00, NaN, NaN, NaN
