1872,12,17,Tuesday,DWR_1872_12-32.jpg
CHRISTIANSUND, 999.00, 999, 999, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
SKUDDESNAES, 999.00, 999, 999, NaN, NaN, NaN, 999.00, 999, 999
THURSO, 999.00, 999, 999, 999, 999, 999.00, 29.67, 40, 38
WICK, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
OXO, 999.00, 999, 999, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
ABERDEEN, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
LEITH, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
ARDROSSAN, 29.41, 35, 34, 47, 34, 0.44, NaN, NaN, NaN
FANO, 999.00, 999, 999, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE, 29.45, 38, 37, 43, 36, 0.42, 29.60, 41, 40
SHIELDS, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
DONAGHADEE, 29.32, 36, 36, 45, 36, 0.75, NaN, NaN, NaN
SCARBOROUGH, 999.00, 999, 999, 999, 999, 999.00, 29.85, 41, 40
YORK, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
CUXHAVEN, 29.86, 31, 28, 34, 999, 0.00, NaN, NaN, NaN
LIVERPOOL, 29.19, 40, 39, 40, 35, 0.75, NaN, NaN, NaN
HOLYHEAD, 29.18, 41, 39, 47, 38, 0.88, 29.68, 46, 45
KINGSTOWN, 29.32, 39, 38, 47, 37, 0.56, NaN, NaN, NaN
HELDER, 29.61, 33, 999, NaN, NaN, NaN, NaN, NaN, NaN
NOTTINGHAM, 29.26, 43, 42, 42, 32, 0.80, NaN, NaN, NaN
YARMOUTH, 29.30, 44, 40, 45, 36, 0.71, NaN, NaN, NaN
CAMBRIDGE, 29.31, 44, 42, 44, 35, 0.51, NaN, NaN, NaN
VALENTIA, 29.65, 48, 44, 50, 44, 0.63, 29.56, 48, 48
ROCHESPOINT, 29.49, 45, 44, 48, 42, 0.80, NaN, NaN, NaN
OXFORD, 29.32, 41, 40, 47, 35, 1.02, NaN, NaN, NaN
PEMBROKE, 29.36, 46, 45, 50, 42, 0.88, NaN, NaN, NaN
LONDON, 29.35, 43, 42, 48, 35, 0.60, 29.86, 43, 42
PORTISHEAD, 29.33, 44, 43, 52, 38, -999.00, NaN, NaN, NaN
DOVER, 29.39, 45, 44, 48, 39, 0.60, NaN, NaN, NaN
CAPGRISNEZ, 29.40, 46, 44, 999, 41, 0.51, NaN, NaN, NaN
BRUSSELS, 29.52, 46, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PORTSMOUTH, 29.41, 44, 43, 50, 40, 0.56, NaN, NaN, NaN
PLYMOUTH, 29.49, 45, 45, 52, 42, 0.45, NaN, NaN, NaN
SCILLY, 29.60, 48, 47, 52, 45, 0.40, 29.69, 50, 50
CHARLEVILLE, 29.62, 43, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS, 29.67, 46, 42, 47, 42, 0.00, NaN, NaN, NaN
BREST, 29.79, 49, 45, 53, 42, 0.47, NaN, NaN, NaN
LORIENT, 29.80, 48, 48, 999, 45, 0.32, NaN, NaN, NaN
ROCHEFORT, 29.91, 52, 47, 54, 46, 0.00, 30.01, 53, 48
LYONS, 29.88, 39, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ, 30.07, 54, 50, 54, 48, 0.00, NaN, NaN, NaN
CORUNNA, 999.00, 999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON, 29.94, 47, 43, 51, 43, 0.00, NaN, NaN, NaN
