1872,01,07,Sunday,DWR_1872_01-12.jpg
CHRISTIANSUND, 29.08, 41, 999, NaN, NaN, NaN, NaN, NaN, NaN
SKUDDESNAES, 29.25, 39, 999, NaN, NaN, NaN, 999.00, 999, 999
THURSO, 29.06, 34, 999, 999, 999, 0.00, 999.00, 999, 999
WICK, 29.11, 38, 999, 999, 999, 0.00, NaN, NaN, NaN
OXO, 29.37, 39, 999, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 29.13, 34, 999, 999, 999, 0.00, NaN, NaN, NaN
ABERDEEN, 29.20, 35, 999, 999, 999, 0.00, NaN, NaN, NaN
LEITH, 29.27, 37, 999, 999, 999, 0.00, NaN, NaN, NaN
ARDROSSAN, 29.26, 41, 999, 999, 999, 0.00, NaN, NaN, NaN
GREENCASTLE, 999.00, 999, 999, 999, 999, 999.00, 999.00, 999, 999
SHIELDS, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
SCARBOROUGH, 29.44, 34, 999, 999, 999, 0.00, 999.00, 999, 999
LIVERPOOL, 29.47, 35, 999, 999, 999, 0.02, NaN, NaN, NaN
HOLYHEAD, 29.40, 39, 999, 999, 999, 0.00, 999.00, 999, 999
HELDER, 999.00, 999, 999, NaN, NaN, NaN, NaN, NaN, NaN
YARMOUTH, 29.57, 40, 999, 999, 999, 0.29, NaN, NaN, NaN
VALENTIA, 29.31, 41, 999, 999, 999, 0.33, 999.00, 999, 999
ROCHESPOINT, 29.39, 39, 999, 999, 999, 0.28, NaN, NaN, NaN
PEMBROKE, 29.47, 44, 999, 999, 999, 0.13, NaN, NaN, NaN
LONDON, 29.58, 38, 999, 999, 999, 0.46, 999.00, 999, 999
DOVER, -999.00, 44, 999, 999, 999, 0.15, NaN, NaN, NaN
CAPGRISNEZ, 29.66, 42, 999, 999, 999, 0.20, NaN, NaN, NaN
PORTSMOUTH, 29.60, 40, 999, 999, 999, 0.44, NaN, NaN, NaN
PLYMOUTH, 29.58, 40, 999, 999, 999, 0.07, NaN, NaN, NaN
PENZANCE, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
SCILLY, 29.59, 45, 999, 999, 999, 0.11, 999.00, 999, 999
BREST, 999.00, 46, 999, 999, 999, 0.12, NaN, NaN, NaN
LORIENT, 29.75, 44, 999, 999, 999, 0.28, NaN, NaN, NaN
ROCHEFORT, 999.00, 999, 999, 999, 999, 999.00, 999.00, 999, 999
BIARRITZ, -999.00, 999, 999, 999, 999, 0.12, NaN, NaN, NaN
