1874,10,19,Monday,DWR_1874_10-43.jpg
HAPARANDA, 29.84, 44, 44, NaN, NaN, NaN, NaN, NaN, NaN
CHRISTIANSUND, 29.60, 52, 49, NaN, NaN, NaN, NaN, NaN, NaN
HERNOSAND, 29.87, 46, 44, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD, 29.47, 49, 49, 54, 48, 0.00, NaN, NaN, NaN
WISBY, 30.14, 51, 51, NaN, NaN, NaN, NaN, NaN, NaN
SKUDDESNAES, 29.73, 54, 53, NaN, NaN, NaN, 29.79, 53, 51
THURSO, 29.49, 46, 45, 62, 42, 0.03, 999.00, 999, 999
WICK, 29.49, 45, 44, 999, 43, 0.07, NaN, NaN, NaN
STORNOWAY, 29.41, 39, 38, 52, 37, 0.53, NaN, NaN, NaN
OXO, 29.87, 54, 54, NaN, NaN, NaN, NaN, NaN, NaN
SKAGEN, 29.96, 55, 54, NaN, NaN, NaN, NaN, NaN, NaN
STOCKHOLM, 30.04, 49, 49, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 29.49, 46, 45, 58, 45, 0.11, NaN, NaN, NaN
ABERDEEN, 29.48, 50, 49, 56, 49, 0.20, NaN, NaN, NaN
LEITH, 29.52, 51, 49, 61, 47, 0.40, NaN, NaN, NaN
ARDROSSAN, 29.56, 49, 47, 57, 49, 1.14, NaN, NaN, NaN
FANO, 29.94, 56, 55, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE, -999.00, 48, 47, 56, 47, 0.24, 999.00, 999, 999
SHIELDS, 29.65, 51, 49, 58, 47, 0.00, NaN, NaN, NaN
DONAGHADEE, 29.61, 47, 47, 56, 47, 0.05, NaN, NaN, NaN
SCARBOROUGH, -999.00, 52, 50, 57, 49, 0.00, 999.00, 999, 999
YORK, 999.00, 51, 49, 62, 49, 0.00, NaN, NaN, NaN
CUXHAVEN, 30.01, 55, 55, 61, 999, 0.00, NaN, NaN, NaN
LIVERPOOL, -999.00, 49, 46, 61, 48, 0.05, NaN, NaN, NaN
HOLYHEAD, 29.69, 50, 46, 59, 50, 0.40, 999.00, 999, 999
KINGSTOWN, 29.68, 49, 45, 61, 49, 0.05, NaN, NaN, NaN
HELDER, 29.92, 56, 999, NaN, NaN, NaN, NaN, NaN, NaN
NOTTINGHAM, 29.81, 52, 50, 62, 47, 0.00, NaN, NaN, NaN
YARMOUTH, 29.87, 53, 53, 61, 51, 0.00, NaN, NaN, NaN
CAMBRIDGE, 29.85, 53, 52, 60, 45, 0.01, NaN, NaN, NaN
VALENTIA, 29.86, 51, 48, 59, 46, 0.30, 999.00, 999, 999
ROCHESPOINT, 29.77, 48, 46, 57, 45, 0.24, NaN, NaN, NaN
OXFORD, 29.84, 52, 50, 60, 50, 0.00, NaN, NaN, NaN
PEMBROKE, 29.78, 53, 49, 58, 50, 0.07, NaN, NaN, NaN
LONDON, 29.88, 54, 53, 64, 51, 0.01, 999.00, 999, 999
PORTISHEAD, 29.84, 51, 49, 62, 48, 0.06, NaN, NaN, NaN
DOVER, 29.90, 58, 57, 59, 55, 0.06, NaN, NaN, NaN
CAPGRISNEZ, 29.92, 57, 55, 59, 54, 0.28, NaN, NaN, NaN
BRUSSELS, 29.98, 59, NaN, NaN, NaN, NaN, NaN, NaN, NaN
HURSTCASTLE, 29.91, 55, 54, 65, 53, 0.03, NaN, NaN, NaN
PLYMOUTH, 29.90, 52, 50, 59, 50, 0.04, NaN, NaN, NaN
SCILLY, 29.90, 53, 48, 59, 52, 0.11, 999.00, 999, 999
CHARLEVILLE, 999.00, 999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS, 30.01, 56, 999, 65, 54, 0.08, NaN, NaN, NaN
BREST, 30.00, 56, 56, 62, 52, 0.08, NaN, NaN, NaN
LORIENT, 29.96, 55, 55, 62, 54, 0.08, NaN, NaN, NaN
ROCHEFORT, 30.00, 60, 58, 68, 54, 0.08, 30.12, 66, 61
LYONS, 999.00, 64, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ, 30.04, 59, 57, 68, 56, 0.04, NaN, NaN, NaN
CORUNNA, 999.00, 999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON, 30.19, 64, 60, 69, 63, 0.00, NaN, NaN, NaN
