1872,04,08,Monday,DWR_1872_04-14.jpg
CHRISTIANSUND, 29.64, 46, 39, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
SKUDDESNAES, 29.70, 40, 40, NaN, NaN, NaN, 999.00, 39, 38
THURSO, 29.70, 46, 44, 57, 43, 0.54, 999.00, 999, 999
WICK, 29.71, 46, 44, 54, 44, 0.16, NaN, NaN, NaN
OXO, 29.90, 39, 38, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 29.78, 47, 46, 58, 45, 0.04, NaN, NaN, NaN
ABERDEEN, 29.74, 50, 45, 54, 46, 0.10, NaN, NaN, NaN
LEITH, 29.82, 51, 46, 58, 48, 0.00, NaN, NaN, NaN
ARDROSSAN, 29.95, 49, 4, 51, 47, 0.18, NaN, NaN, NaN
FANO, 29.90, 42, 41, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE, 30.01, 49, 47, 51, 45, 0.23, 999.00, 999, 999
SHIELDS, 29.82, 52, 46, 52, 46, 0.00, NaN, NaN, NaN
SCARBOROUGH, 29.85, 55, 51, 56, 48, 0.00, 999.00, 999, 999
CUXHAVEN, 30.05, 42, 41, 999, 37, 0.04, NaN, NaN, NaN
LIVERPOOL, 30.01, 62, 51, 56, 51, 0.05, NaN, NaN, NaN
HOLYHEAD, 30.07, 51, 50, 52, 48, 0.10, 999.00, 999, 999
HELDER, 30.01, 46, 999, NaN, NaN, NaN, NaN, NaN, NaN
YARMOUTH, 29.98, 52, 52, 52, 45, 0.17, NaN, NaN, NaN
VALENTIA, 30.24, 53, 52, 57, 51, 0.07, 999.00, 999, 999
ROCHESPOINT, 30.18, 54, 52, 57, 50, 0.00, NaN, NaN, NaN
PEMBROKE, 30.17, 49, 49, 51, 48, 0.01, NaN, NaN, NaN
LONDON, 30.12, 52, 50, 60, 40, 0.03, 999.00, 999, 999
DOVER, 30.13, 49, 48, 49, 43, 0.01, NaN, NaN, NaN
CAPGRISNEZ, 30.18, 48, 46, 999, 42, 0.04, NaN, NaN, NaN
BRUSSELS, 30.24, 46, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PORTSMOUTH, 30.21, 51, 50, 55, 42, 0.20, NaN, NaN, NaN
PLYMOUTH, 30.27, 52, 50, 56, 50, 0.00, NaN, NaN, NaN
SCILLY, 30.31, 51, 51, 55, 60, 0.00, 999.00, 999, 999
CHARLEVILLE, 30.36, 40, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS, 30.38, 44, 999, 999, 999, 0.00, NaN, NaN, NaN
BREST, 999.00, 51, 51, 55, 42, 0.00, NaN, NaN, NaN
LORIENT, 30.48, 50, 50, 58, 41, 0.00, NaN, NaN, NaN
ROCHEFORT, 30.50, 50, 46, 53, 43, 0.00, 30.46, 51, 47
LYONS, 30.39, 51, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ, 30.50, 47, 45, 50, 45, 0.00, NaN, NaN, NaN
CORUNNA, 30.50, 53, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON, 30.24, 62, -999, 66, 48, 0.00, NaN, NaN, NaN
