1874,03,27,Friday,DWR_1874_03-59.jpg
HAPARANDA, 29.79, 23, 22, NaN, NaN, NaN, NaN, NaN, NaN
CHRISTIANSUND, 29.80, 36, 36, NaN, NaN, NaN, NaN, NaN, NaN
HERNOSAND, 29.89, 27, 25, NaN, NaN, NaN, NaN, NaN, NaN
SUMBURGHHEAD, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
WISBY, 29.85, 33, 33, NaN, NaN, NaN, NaN, NaN, NaN
SKUDDESNAES, 29.84, 42, 42, NaN, NaN, NaN, 30.08, 43, 42
THURSO, 29.60, 46, 44, 59, 42, 0.03, 29.98, 54, 50
WICK, 29.64, 46, 44, 58, 42, 0.03, NaN, NaN, NaN
STORNOWAY, 29.52, 49, 48, 53, 43, 0.05, NaN, NaN, NaN
OXO, 29.84, 39, 39, NaN, NaN, NaN, NaN, NaN, NaN
SKAGEN, 29.77, 41, 40, NaN, NaN, NaN, NaN, NaN, NaN
STOCKHOLM, 29.78, 33, 30, NaN, NaN, NaN, NaN, NaN, NaN
NAIRN, 29.67, 51, 48, 55, 46, 0.00, NaN, NaN, NaN
ABERDEEN, 29.72, 45, 43, 55, 41, 0.03, NaN, NaN, NaN
LEITH, 29.80, 48, 47, 63, 40, 0.10, NaN, NaN, NaN
ARDROSSAN, 29.80, 48, 46, 51, 46, 0.10, NaN, NaN, NaN
FANO, 29.98, 42, 41, NaN, NaN, NaN, NaN, NaN, NaN
GREENCASTLE, 29.68, 51, 50, 52, 45, 0.00, 30.09, 52, 49
SHIELDS, 29.91, 45, 42, 50, 31, 0.00, NaN, NaN, NaN
DONAGHADEE, 29.75, 47, 46, 51, 42, 0.06, NaN, NaN, NaN
SCARBOROUGH, 29.94, 42, 40, 49, 38, 0.00, 30.22, 48, 43
YORK, 29.98, 40, 39, 54, 36, 0.00, NaN, NaN, NaN
CUXHAVEN, 30.08, 43, 42, 999, 35, 0.00, NaN, NaN, NaN
LIVERPOOL, 29.94, 44, 41, 54, 37, 0.03, NaN, NaN, NaN
HOLYHEAD, 29.89, 46, 45, 51, 44, 0.03, 30.32, 49, 45
KINGSTOWN, -999.00, 51, 49, 53, 46, 0.00, NaN, NaN, NaN
HELDER, 30.12, 44, 999, NaN, NaN, NaN, NaN, NaN, NaN
NOTTINGHAM, 30.01, 45, 43, 49, 36, 0.00, NaN, NaN, NaN
YARMOUTH, 30.11, 42, 41, 45, 35, 0.00, NaN, NaN, NaN
CAMBRIDGE, 30.04, 43, 42, 52, 32, 0.00, NaN, NaN, NaN
VALENTIA, 29.63, 54, 53, 54, 48, 0.43, 29.99, 52, 51
ROCHESPOINT, 29.74, 50, 50, 55, 48, 0.35, NaN, NaN, NaN
OXFORD, 999.00, 47, 44, 53, 34, 0.00, NaN, NaN, NaN
PEMBROKE, 29.92, 48, 47, 50, 44, 0.01, NaN, NaN, NaN
LONDON, 30.10, 55, 49, 56, 32, 0.00, 30.32, 51, 46
PORTISHEAD, 999.00, 50, 46, 56, 35, 0.00, NaN, NaN, NaN
DOVER, 30.15, 49, 47, 50, 40, 0.00, NaN, NaN, NaN
CAPGRISNEZ, 30.16, 46, 42, 51, 41, 0.00, NaN, NaN, NaN
BRUSSELS, 30.21, 46, NaN, NaN, NaN, NaN, NaN, NaN, NaN
HURSTCASTLE, 999.00, 999, 999, 999, 999, 999.00, NaN, NaN, NaN
PLYMOUTH, 30.06, 50, 48, 54, 42, 0.00, NaN, NaN, NaN
SCILLY, 29.88, 50, 50, 53, 48, 0.01, 30.24, 53, 51
CHARLEVILLE, 999.00, 35, NaN, NaN, NaN, NaN, NaN, NaN, NaN
PARIS, 30.26, 44, 999, 57, 36, 0.00, NaN, NaN, NaN
BREST, 30.13, 50, 48, 55, 41, 0.00, NaN, NaN, NaN
LORIENT, 999.00, 49, 47, 59, 41, 0.00, NaN, NaN, NaN
ROCHEFORT, 30.28, 46, 44, 64, 37, 0.00, 30.36, 58, -999
LYONS, 999.00, 46, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BIARRITZ, 30.25, 55, 53, 999, 41, 0.00, NaN, NaN, NaN
CORUNNA, 999.00, 999, NaN, NaN, NaN, NaN, NaN, NaN, NaN
TOULON, 30.31, 53, 46, 60, 43, 0.00, NaN, NaN, NaN
